tempo,hora,cx_bike_previsao_0,cx_bike_previsao_1,cx_bike_previsao_2,cx_bike_previsao_3,cx_bike_previsao_4,cx_bike_previsao_5,cx_bike_previsao_6,cx_bike_previsao_7,cx_bike_previsao_8,cx_bike_previsao_9,soc_bike_previsao_0,soc_bike_previsao_1,soc_bike_previsao_2,soc_bike_previsao_3,soc_bike_previsao_4,soc_bike_previsao_5,soc_bike_previsao_6,soc_bike_previsao_7,soc_bike_previsao_8,soc_bike_previsao_9
0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,9:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,11:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,12:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,13:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,13:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,14:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,15:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,15:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,18:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,19:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
