,FO_value,FO_status
0,0.0,Optimal
1,0.0,Optimal
2,0.0,Optimal
3,0.0,Optimal
4,0.0,Optimal
5,0.0,Optimal
6,0.0,Optimal
7,0.0,Optimal
8,0.0,Optimal
9,0.0,Optimal
10,0.0,Optimal
11,0.0,Optimal
12,0.0,Optimal
13,0.0,Optimal
14,0.0,Optimal
15,0.0,Optimal
16,0.0,Optimal
17,0.0,Optimal
18,0.0,Optimal
19,0.0,Optimal
20,0.0,Optimal
21,0.0,Optimal
22,0.0,Optimal
23,0.0,Optimal
24,0.0,Optimal
25,0.0,Optimal
26,0.0,Optimal
27,0.0,Optimal
28,0.0,Optimal
29,0.0,Optimal
30,0.0,Optimal
31,0.0,Optimal
32,0.0,Optimal
33,0.0,Optimal
34,0.0,Optimal
35,0.0,Optimal
36,0.0,Optimal
37,0.0,Optimal
38,0.0,Optimal
39,0.0,Optimal
40,0.0,Optimal
41,0.0,Optimal
42,0.0,Optimal
43,0.0,Optimal
44,0.0,Optimal
45,0.0,Optimal
46,0.0,Optimal
47,0.0,Optimal
48,0.0,Optimal
49,0.0,Optimal
50,0.0,Optimal
51,0.0,Optimal
52,0.0,Optimal
53,0.0,Optimal
54,0.0,Optimal
55,0.0,Optimal
56,0.0,Optimal
57,0.0,Optimal
58,0.0,Optimal
59,0.0,Optimal
60,0.0,Optimal
61,0.0,Optimal
62,0.0,Optimal
63,0.0,Optimal
64,0.0,Optimal
65,0.0,Optimal
66,0.0,Optimal
67,0.0,Optimal
68,0.0,Optimal
69,0.0,Optimal
70,0.0,Optimal
71,0.0,Optimal
72,0.0,Optimal
73,0.0,Optimal
74,0.0,Optimal
75,0.0,Optimal
76,0.0,Optimal
77,0.0,Optimal
78,0.0,Optimal
79,0.0,Optimal
80,0.0,Optimal
81,0.0,Optimal
82,0.0,Optimal
83,0.0,Optimal
84,0.0,Optimal
85,0.0,Optimal
86,0.0,Optimal
87,0.0,Optimal
88,0.0,Optimal
89,0.0,Optimal
90,0.0,Optimal
91,0.0,Optimal
92,0.0,Optimal
93,0.0,Optimal
94,0.0,Optimal
95,0.0,Optimal
